doc_id_1,doc_id_2,shared_bands,jaccard,decision
89107,80303,13,0.9574,duplicate
17506,17076,4,0.6923,below_threshold
99678,42828,14,0.9048,duplicate
96579,7966,6,0.8636,duplicate
63483,98971,14,0.9333,duplicate
59720,89294,12,0.9286,duplicate
19408,19437,1,0.3500,below_threshold
97876,77014,9,0.9048,duplicate
70749,70881,7,0.7708,below_threshold
22,92844,4,0.6522,below_threshold
90107,35136,10,0.7838,below_threshold
1757,1750,14,0.8478,duplicate
60895,60706,9,0.8649,duplicate
78450,90209,12,0.8571,duplicate
98264,21441,12,0.9070,duplicate
98665,81188,14,0.9512,duplicate
11836,99660,10,0.8966,duplicate
94105,98531,7,0.7750,below_threshold
94105,60602,8,0.8378,duplicate
98531,60602,15,0.9189,duplicate
31742,91457,7,0.7857,below_threshold
85268,95375,2,0.3333,below_threshold
85268,44477,3,0.5526,below_threshold
85268,37435,2,0.5526,below_threshold
85268,34762,2,0.6562,below_threshold
85268,27260,6,0.6364,below_threshold
85268,34807,4,0.6562,below_threshold
85268,50476,2,0.6562,below_threshold
85268,34939,4,0.6774,below_threshold
85268,36357,1,0.5122,below_threshold
85268,24152,2,0.6364,below_threshold
85268,54732,2,0.5385,below_threshold
85268,37226,3,0.6774,below_threshold
85268,37006,4,0.6774,below_threshold
85268,30879,4,0.6774,below_threshold
85268,92323,2,0.5000,below_threshold
85268,31248,1,0.6364,below_threshold
85268,33389,4,0.6562,below_threshold
95375,44477,1,0.3137,below_threshold
95375,37435,2,0.3137,below_threshold
95375,34762,1,0.3261,below_threshold
95375,27260,2,0.3191,below_threshold
95375,34807,1,0.3261,below_threshold
95375,50476,2,0.3261,below_threshold
95375,34939,2,0.3333,below_threshold
95375,36357,1,0.2963,below_threshold
95375,24152,1,0.3191,below_threshold
95375,54732,8,0.7000,below_threshold
95375,37226,2,0.3333,below_threshold
95375,37006,1,0.3333,below_threshold
95375,30879,2,0.3333,below_threshold
95375,92323,1,0.2400,below_threshold
95375,31248,1,0.3191,below_threshold
95375,33389,2,0.3261,below_threshold
44477,37435,2,0.5349,below_threshold
44477,34762,2,0.5385,below_threshold
44477,27260,3,0.5250,below_threshold
44477,34807,3,0.5385,below_threshold
44477,50476,1,0.5385,below_threshold
44477,34939,4,0.5526,below_threshold
44477,36357,1,0.5000,below_threshold
44477,24152,2,0.5250,below_threshold
44477,54732,1,0.4889,below_threshold
44477,37226,2,0.5526,below_threshold
44477,37006,4,0.5526,below_threshold
44477,30879,3,0.5526,below_threshold
44477,92323,2,0.4186,below_threshold
44477,31248,2,0.5250,below_threshold
44477,33389,2,0.5385,below_threshold
37435,34762,2,0.5385,below_threshold
37435,27260,3,0.5250,below_threshold
37435,34807,1,0.5385,below_threshold
37435,50476,2,0.5385,below_threshold
37435,34939,2,0.5526,below_threshold
37435,36357,2,0.5682,below_threshold
37435,24152,2,0.5250,below_threshold
37435,54732,2,0.4889,below_threshold
37435,37226,1,0.5526,below_threshold
