doc_id_1,doc_id_2,shared_bands
90058,48179,6
69575,69574,3
98358,49127,9
30801,94250,7
45810,45845,1
98330,49519,12
15140,95831,6
90750,72591,8
89763,91998,2
89763,31774,5
91998,31774,7
69597,96477,10
92577,45586,4
95361,9747,5
48371,91289,5
98882,85133,15
34759,90757,15
91780,71557,8
89583,30487,12
11533,92619,8
74146,95474,10
98677,75599,12
99363,25878,12
10025,98785,13
46049,45686,1
79746,99676,14
94692,13105,3
93710,50646,5
96419,83616,6
34213,34116,8
96023,23180,9
97255,6262,13
78969,99387,9
95345,21510,8
5417,4612,2
97060,76174,13
77619,76597,10
45708,91298,12
96802,45684,6
24915,96172,5
95565,35980,3
94328,16907,13
94328,85351,9
16907,85351,11
7196,91439,4
86420,92209,2
44418,48848,7
29220,29194,13
76645,85402,3
4947,5657,3
92978,60778,6
94057,6607,6
5257,98040,1
84245,84371,3
84245,84130,1
84245,84299,2
84371,84130,2
84371,84299,2
84130,84299,1
85783,33509,15
96876,17275,5
11328,96492,4
88979,70349,3
95941,52822,6
94763,61649,6
94763,61812,7
61649,61812,4
90707,88660,10
58213,93068,7
51065,98343,8
96437,23140,5
94970,48711,10
91339,5112,11
98987,78618,6
46117,91827,10
91705,7926,5
12860,12910,1
91613,3507,6
32164,89672,15
1900,89439,11
90243,24343,14
73084,96965,10
98547,46945,10
15614,15557,5
15614,15592,6
15614,15726,7
15614,99497,5
15557,15592,4
15557,15726,4
15557,99497,4
15592,15726,9
15592,99497,8
15726,99497,11
19885,91350,6
81158,92043,2
95358,74470,8
4781,97141,14
58861,96568,5
83760,83717,5
37311,91228,6
50447,95778,7
44436,90450,12
64852,98228,14
86436,99437,14
74992,75006,8
92857,77164,8
80889,80979,13
40968,96011,9
35581,99267,15
95020,57698,12
3670,99291,6
65874,92945,2
65874,65813,8
92945,65813,3
49134,48234,11
49134,97843,11
48234,97843,14
60673,60660,5
26767,27191,10
90197,17700,13
1867,2078,9
12153,12521,1
64679,65003,2
88575,29993,13
72346,96292,9
97837,67315,1
25620,93393,4
92442,48190,4
1814,98974,6
1814,2698,7
98974,2698,14
95881,11806,11
34168,98910,11
51120,99417,10
51120,51293,3
99417,51293,3
