doc_id,row_idx
76777,314
48873,315
67775,316
5037,317
89116,318
64825,319
84219,320
74763,321
2255,322
90093,323
66147,324
78667,325
20791,326
30288,327
28903,328
63184,329
93267,330
91633,331
9000,332
84355,333
95843,334
29698,335
21484,336
87038,337
58318,338
25120,339
36923,340
34488,341
64453,342
78630,343
71033,344
29622,345
85952,346
53409,347
8450,348
54493,349
27549,350
15680,351
92675,352
38137,353
39484,354
71960,355
73738,356
95714,357
19975,358
56304,359
8597,360
26728,361
64589,362
66337,363
63147,364
67207,365
3755,366
75517,367
48588,368
35535,369
2849,370
44947,371
70143,372
42692,373
55847,374
80169,375
39753,376
75786,377
60650,378
65158,379
22557,380
92017,381
88270,382
71836,383
64218,384
90254,385
89236,386
89618,387
90286,388
98801,389
9472,390
93746,391
1895,392
65405,393
92368,394
48400,395
51945,396
28128,397
42090,398
56603,399
41586,400
33720,401
55538,402
55636,403
1189,404
46377,405
94482,406
86042,407
94087,408
86289,409
91740,410
86556,411
73237,412
70567,413
29295,414
99657,415
28006,416
42351,417
94791,418
89507,419
38268,420
84523,421
37218,422
94073,423
76362,424
48028,425
67856,426
47197,427
23603,428
61155,429
19551,430
1464,431
13244,432
88193,433
96615,434
84137,435
47294,436
23626,437
97828,438
73314,439
80092,440
58399,441
7026,442
91801,443
24818,444
53284,445
14684,446
30928,447
70032,448
19383,449
7096,450
81811,451
8113,452
75530,453
53537,454
68601,455
83087,456
38188,457
17902,458
46316,459
28857,460
75178,461
98254,462
9605,463
76962,464
28820,465
6252,466
95136,467
27132,468
14689,469
43700,470
5953,471
42003,472
6389,473
84742,474
414,475
92704,476
75274,477
55064,478
51149,479
56067,480
29846,481
89766,482
65711,483
15353,484
50316,485
88558,486
37977,487
42476,488
66210,489
43650,490
99111,491
87617,492
54592,493
39737,494
49283,495
18682,496
27055,497
22377,498
19534,499
2282,500
4666,501
21294,502
96856,503
17129,504
44105,505
76579,506
25318,507
18099,508
83457,509
58778,510
385,511
39691,512
3647,513
10274,514
98557,515
97545,516
43936,517
40801,518
